"Countries, territories and areas","Data Source","Beverage Types","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Georgia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","3.28","3.98","3.70","2.86","1.64","1.03","1.02","1.12","1.24","1.56"
"Georgia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","2.07","2.09","2.09","1.96","1.93","1.26","1.21","1.11","1.08","1.32"
"Georgia","(FAO) 1990-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Germany","(WDT) 1961-1990; (DeStatis) 1991-1999; WHO 2000-2004;  (DeStatis ) 2005-2010;  (BSI) 2011-2018","All types","11.23","11.37","11.51","11.76","11.68","11.83","11.92","12.25","12.46","12.91"
"Germany","(WDT) 1961-1990; (DeStatis) 1991-1999; WHO 2000-2004;  (DeStatis ) 2005-2010;  (BSI) 2011-2018","Beer","6.34","6.35","6.48","6.73","6.62","6.29","6.43","6.67","6.71","7.16"
"Germany","(WDT) 1961-1990; (DeStatis) 1991-1999; WHO 2000-2004;  (DeStatis ) 2005-2010;  (BSI) 2011-2018","Wine","3.11","3.24","3.24","3.13","3.13","3.06","3.14","3.14","3.21","3.18"
"Germany","(WDT) 1961-1990; (DeStatis) 1991-1999; WHO 2000-2004;  (DeStatis ) 2005-2010;  (BSI) 2011-2018","Spirits","2.15","2.16","2.16","2.28","2.29","2.48","2.35","2.44","2.54","2.57"
"Germany","(WDT) 1961-1990; (DeStatis) 1991-1999; WHO 2000-2004;  (DeStatis ) 2005-2010;  (BSI) 2011-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Ghana","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","All types","1.26","1.26","0.67","0.65","0.56","0.55","1.91","1.95","1.85","1.95"
"Ghana","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Beer","0.47","0.49","0.48","0.49","0.43","0.42","0.40","0.41","0.34","0.41"
"Ghana","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Wine","0.12","0.15","0.14","0.11","0.08","0.08","0.07","0.05","0.04","0.04"
"Ghana","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Spirits","0.04","0.04","0.05","0.05","0.05","0.04","0.07","0.21","0.18","0.11"
"Ghana","(FAO) 1961-1999; (FAO, GlobalData, IWSR, Wine Institute) 2000-2018","Other alcoholic beverages","0.63","0.58","0.00","0.00","0.00","0.00","1.38","1.29","1.30","1.39"
"Greece","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","8.32","8.73","8.89","8.68","9.15","9.10","8.91","8.22","8.75","8.60"
"Greece","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","2.23","2.36","2.34","2.23","2.18","2.19","2.22","2.35","2.33","2.38"
"Greece","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","3.81","4.03","4.17","4.06","4.56","4.21","3.93","3.16","3.79","3.69"
"Greece","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","2.13","2.18","2.22","2.23","2.23","2.53","2.59","2.53","2.46","2.35"
"Greece","(WDT) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.15","0.16","0.15","0.16","0.18","0.18","0.18","0.18","0.18","0.18"
"Grenada","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","8.55","9.04","9.14","9.26","8.85","8.68","9.89","10.99","9.77","9.21"
"Grenada","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","3.54","3.86","4.00","4.15","3.87","3.62","3.74","3.47","3.53","3.50"
"Grenada","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.61","0.61","0.56","0.53","0.45","0.44","0.42","0.44","0.38","0.43"
"Grenada","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","4.12","4.26","4.34","4.39","4.36","4.38","5.61","6.93","5.72","5.15"
"Grenada","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.27","0.31","0.24","0.20","0.17","0.24","0.13","0.15","0.13","0.13"
"Guatemala","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","2.03","2.10","2.36","2.36","2.34","2.38","2.34","2.30","2.41","2.52"
"Guatemala","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.81","0.89","1.05","1.07","1.07","1.12","1.06","0.95","1.01","1.06"
"Guatemala","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.03","0.03","0.11","0.12","0.13","0.12","0.03","0.03","0.03","0.03"
"Guatemala","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.19","1.17","1.20","1.16","1.14","1.13","1.25","1.32","1.37","1.43"
"Guatemala","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","0.19","0.21","0.19","0.15","0.20","0.34","0.18","0.21","0.17","0.18"
"Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Beer","0.16","0.17","0.15","0.12","0.16","0.16","0.16","0.17","0.15","0.15"
"Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Wine","0.02","0.03","0.02","0.01","0.02","0.02","0.02","0.04","0.02","0.02"
"Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Spirits","0.01","0.01","0.01","0.01","0.03","0.16","0","0","0.01","0.01"
"Guinea","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0","0","0","0","0"
"Guinea-Bissau","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","2.89","3.01","3.22","3.48","3.69","3.56","3.07","2.60","2.75","3.02"
"Guinea-Bissau","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.48","0.32","0.39","0.40","0.39","0.46","0.41","0.35","0.36","0.44"
"Guinea-Bissau","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0.54","0.54","0.60","0.42","0.61","0.52","0.55","0.65","0.46","0.46"
"Guinea-Bissau","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.55","0.56","0.53","0.54","0.51","0.53","0.54","0.56","0.57","0.59"
"Guinea-Bissau","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","1.32","1.59","1.70","2.12","2.18","2.05","1.56","1.05","1.36","1.54"
"Guyana","(FAO) 1961-1989; (WDT) 1990-1999; (GlobalData, IWSR) 2000-2018","All types","5.87","5.83","5.73","5.68","5.84","8.65","8.75","8.47","7.36","6.82"
"Guyana","(FAO) 1961-1989; (WDT) 1990-1999; (GlobalData, IWSR) 2000-2018","Beer","2.18","2.06","2.01","1.94","1.78","1.79","1.86","2.14","2.02","1.59"
"Guyana","(FAO) 1961-1989; (WDT) 1990-1999; (GlobalData, IWSR) 2000-2018","Wine","0.30","0.37","0.31","0.32","0.31","0.31","0.29","0.22","0.18","0.16"
"Guyana","(FAO) 1961-1989; (WDT) 1990-1999; (GlobalData, IWSR) 2000-2018","Spirits","3.37","3.37","3.39","3.39","3.71","6.52","6.57","6.09","5.13","5.04"
"Guyana","(FAO) 1961-1989; (WDT) 1990-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03","0.03"
"Haiti","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","3.53","3.49","3.44","3.51","3.49","3.58","3.56","3.65","3.62","3.63"
"Haiti","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.12","0.11","0.13","0.12","0.10","0.10","0.12","0.13","0.14","0.14"
"Haiti","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.06","0.05","0.05","0.05","0.04","0.04","0.04","0.04","0.04","0.04"
"Haiti","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","3.34","3.32","3.26","3.34","3.34","3.43","3.40","3.48","3.44","3.45"
"Haiti","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0.00","0.00","0.00","0.00","0.00"
"Honduras","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","2.76","2.85","2.94","3.03","3.02","2.83","2.87","2.92","2.61","2.47"
"Honduras","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","1.13","1.16","1.18","1.19","1.19","1.20","1.30","1.33","1.27","1.28"
"Honduras","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.02","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Honduras","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.61","1.66","1.73","1.80","1.80","1.62","1.54","1.57","1.33","1.18"
"Honduras","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Hungary","(WDT) 1961-1999; WHO 2000-2004; Hungarian Central Statistical Office 2005-2017","All types","11.52","11.75","12.54","13.25","12.95","13.28","13.24","13.28","13.18","12.23"
"Hungary","(WDT) 1961-1999; WHO 2000-2004; Hungarian Central Statistical Office 2005-2017","Beer","4.27","4.30","4.59","4.39","4.30","4.34","4.47","4.34","4.25","4.30"
"Hungary","(WDT) 1961-1999; WHO 2000-2004; Hungarian Central Statistical Office 2005-2017","Wine","3.19","3.27","3.87","4.54","4.51","4.66","4.60","4.88","4.86","4.08"
"Hungary","(WDT) 1961-1999; WHO 2000-2004; Hungarian Central Statistical Office 2005-2017","Spirits","4.06","4.18","4.07","4.32","4.14","4.27","4.17","4.06","4.07","3.85"
"Hungary","(WDT) 1961-1999; WHO 2000-2004; Hungarian Central Statistical Office 2005-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Iceland","(WDT) 1961-1999; Statistics Iceland 2000-2018","All types","7.24","7.19","7.53","7.20","7.05","6.71","6.52","6.53","6.32","6.14"
"Iceland","(WDT) 1961-1999; Statistics Iceland 2000-2018","Beer","3.83","3.55","3.95","3.78","3.67","3.49","3.34","3.29","3.11","3.04"
"Iceland","(WDT) 1961-1999; Statistics Iceland 2000-2018","Wine","1.94","2.12","2.04","1.97","1.95","1.83","1.71","1.59","1.48","1.34"
"Iceland","(WDT) 1961-1999; Statistics Iceland 2000-2018","Spirits","1.47","1.52","1.54","1.45","1.43","1.39","1.47","1.65","1.73","1.76"
"Iceland","(WDT) 1961-1999; Statistics Iceland 2000-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"India","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","2.46","1.92","1.57","1.35","1.25","1.18","1.17","1.08","0.98","0.93"
"India","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.15","0.13","0.12","0.11","0.09","0.08","0.08","0.07","0.07","0.07"
"India","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"India","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","2.32","1.78","1.44","1.24","1.16","1.10","1.10","1.00","0.92","0.86"
"India","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","0.07","0.07","0.06","0.06","0.06","0.05","0.05","0.05","0.06","0.06"
"Indonesia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","0.06","0.06","0.06","0.06","0.05","0.05","0.05","0.05","0.06","0.06"
"Indonesia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","0.01","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Indonesia","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iran (Islamic Republic of)","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","All types","0.03","0.03","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Iran (Islamic Republic of)","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Beer","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Iran (Islamic Republic of)","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Wine","0.00","0.00","0.00","0.00","0","0","0","0","0","0"
"Iran (Islamic Republic of)","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Spirits","0.03","0.02","0.02","0.02","0.01","0.01","0.01","0.01","0.01","0.01"
"Iran (Islamic Republic of)","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","All types","0.20","0.17","0.15","0.03","0.18","0.33","0.08","0.17","0.19","0.22"
"Iraq","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Beer","0.16","0.13","0.11","0.00","0.15","0.31","0.06","0.14","0.16","0.20"
"Iraq","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Wine","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Iraq","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Spirits","0.04","0.04","0.03","0.03","0.03","0.02","0.02","0.02","0.02","0.02"
"Iraq","(FAO) 1961-1999; (FAO, IWSR) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Ireland","(WDT) 1961-1999; Irish Revenue Commissioners Reports 2000-2018","All types","10.93","12.18","13.17","13.12","13.06","13.11","13.04","13.95","14.04","13.84"
"Ireland","(WDT) 1961-1999; Irish Revenue Commissioners Reports 2000-2018","Beer","5.59","6.07","6.53","6.70","6.86","6.99","7.20","7.55","7.75","7.88"
"Ireland","(WDT) 1961-1999; Irish Revenue Commissioners Reports 2000-2018","Wine","2.47","2.70","2.84","2.70","2.58","2.53","2.26","2.14","1.93","1.76"
"Ireland","(WDT) 1961-1999; Irish Revenue Commissioners Reports 2000-2018","Spirits","1.93","2.40","2.64","2.52","2.45","2.44","2.43","3.10","3.01","2.97"
"Ireland","(WDT) 1961-1999; Irish Revenue Commissioners Reports 2000-2018","Other alcoholic beverages","0.94","1.01","1.16","1.19","1.17","1.15","1.15","1.16","1.34","1.23"
"Israel","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","2.67","2.59","2.46","2.30","2.46","2.44","2.58","2.79","2.83","2.58"
"Israel","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","1.21","1.19","1.14","0.90","0.99","0.87","1.01","1.19","1.30","1.12"
"Israel","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.13","0.16","0.12","0.13","0.16","0.17","0.16","0.23","0.19","0.25"
"Israel","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","1.27","1.19","1.15","1.21","1.27","1.34","1.36","1.32","1.29","1.16"
"Israel","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05","0.05"
"Italy","(WDT) 1961-1999; AssoBirra Annual Report 2000-2004; WHO 2005-2014; AssoBirra Annual report 2015-2018","All types","7.25","7.96","8.37","8.44","8.65","8.98","9.30","9.25","9.68","9.78"
"Italy","(WDT) 1961-1999; AssoBirra Annual Report 2000-2004; WHO 2005-2014; AssoBirra Annual report 2015-2018","Beer","1.63","1.71","1.81","1.76","1.73","1.72","1.75","1.64","1.68","1.64"
"Italy","(WDT) 1961-1999; AssoBirra Annual Report 2000-2004; WHO 2005-2014; AssoBirra Annual report 2015-2018","Wine","4.79","5.42","5.72","5.70","5.85","6.19","6.47","6.54","6.93","7.06"
"Italy","(WDT) 1961-1999; AssoBirra Annual Report 2000-2004; WHO 2005-2014; AssoBirra Annual report 2015-2018","Spirits","0.84","0.84","0.84","0.98","1.07","1.07","1.07","1.07","1.07","1.07"
"Italy","(WDT) 1961-1999; AssoBirra Annual Report 2000-2004; WHO 2005-2014; AssoBirra Annual report 2015-2018","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Jamaica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","All types","3.24","3.35","3.31","3.35","3.36","3.32","3.43","3.61","3.72","3.77"
"Jamaica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Beer","1.03","1.19","1.13","1.09","1.12","1.13","1.14","1.26","1.32","1.58"
"Jamaica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Wine","0.62","0.64","0.59","0.57","0.48","0.43","0.36","0.35","0.35","0.37"
"Jamaica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Spirits","1.45","1.36","1.44","1.54","1.60","1.59","1.77","1.83","1.89","1.65"
"Jamaica","(FAO) 1961-1999; (GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.14","0.15","0.15","0.16","0.17","0.17","0.17","0.17","0.17","0.17"
"Japan","(WDT) 1961-1988; National Tax Agency of Japan 1989-2018","All types","6.98","7.06","7.28","7.48","7.98","7.69","7.82","7.86","8.01","7.96"
"Japan","(WDT) 1961-1988; National Tax Agency of Japan 1989-2018","Beer","1.38","1.47","1.63","1.66","1.72","1.74","1.81","1.97","2.21","2.50"
"Japan","(WDT) 1961-1988; National Tax Agency of Japan 1989-2018","Wine","0.25","0.25","0.24","0.26","0.29","0.31","0.27","0.28","0.28","0.29"
"Japan","(WDT) 1961-1988; National Tax Agency of Japan 1989-2018","Spirits","2.64","2.62","2.62","3.37","3.36","3.41","3.33","3.14","3.05","2.94"
"Japan","(WDT) 1961-1988; National Tax Agency of Japan 1989-2018","Other alcoholic beverages","2.70","2.72","2.79","2.18","2.61","2.22","2.41","2.47","2.48","2.23"
"Jordan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","0.56","0.58","0.56","0.55","0.51","0.50","0.50","0.51","0.52","0.47"
"Jordan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","0.17","0.17","0.17","0.16","0.15","0.13","0.12","0.13","0.14","0.06"
"Jordan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.02","0.03","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Jordan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.35","0.37","0.36","0.35","0.33","0.34","0.36","0.36","0.36","0.38"
"Jordan","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.01","0.01","0","0","0","0","0"
"Kazakhstan","(FAO) 1988-1999; (GlobalData, IWSR, OIV) 2000-2006; Statistical Yearbook 2007-2017","All types","3.16","3.42","3.99","6.76","6.57","6.23","6.22","5.78","5.55","5.81"
"Kazakhstan","(FAO) 1988-1999; (GlobalData, IWSR, OIV) 2000-2006; Statistical Yearbook 2007-2017","Beer","1.47","1.48","1.71","2.14","1.86","1.47","1.33","1.12","0.96","0.82"
"Kazakhstan","(FAO) 1988-1999; (GlobalData, IWSR, OIV) 2000-2006; Statistical Yearbook 2007-2017","Wine","0.08","0.09","0.16","0.25","0.31","0.29","0.38","0.29","0.18","0.35"
"Kazakhstan","(FAO) 1988-1999; (GlobalData, IWSR, OIV) 2000-2006; Statistical Yearbook 2007-2017","Spirits","1.61","1.84","2.11","4.37","4.39","4.47","4.51","4.37","4.42","4.64"
"Kazakhstan","(FAO) 1988-1999; (GlobalData, IWSR, OIV) 2000-2006; Statistical Yearbook 2007-2017","Other alcoholic beverages","0","0","0","0","0","0","0","0","0","0"
"Kenya","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","1.17","1.32","1.20","0.86","0.88","0.69","1.50","1.67","1.64","1.51"
"Kenya","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","1.04","1.06","0.95","0.82","0.85","0.65","0.56","0.67","0.68","0.65"
"Kenya","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.02","0.02","0.03","0.02","0.02","0.02","0.02","0.02","0.02","0.01"
"Kenya","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","0.11","0.24","0.22","0.01","0.01","0.02","0.47","0.53","0.54","0.53"
"Kenya","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0.01","0.01","0.01","0.00","0.00","0.00","0.45","0.45","0.40","0.32"
"Kiribati","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","All types","0.54","0.46","0.55","0.69","0.61","0.49","0.44","0.51","0.71","0.56"
"Kiribati","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Beer","0.49","0.44","0.51","0.65","0.56","0.43","0.40","0.45","0.42","0.39"
"Kiribati","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Wine","0.00","0.00","0.01","0.00","0.02","0.02","0.02","0.02","0.12","0.12"
"Kiribati","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Spirits","0.05","0.02","0.03","0.03","0.02","0.03","0.02","0.04","0.17","0.05"
"Kiribati","(FAO) 1961-1999; (FAO, Wine Institute) 2000-2017","Other alcoholic beverages","0","0.00","0.00","0.00","0.01","0.01","0","0","0","0"
"Kuwait","(FAO) 1961-1999; (FAO, IWSR, Wine Institute) 2000-2018","All types","0.10","0.03","0.03","0.01","0.01","0.02","0.01","0.01","0.01","0.01"
"Kuwait","(FAO) 1961-1999; (FAO, IWSR, Wine Institute) 2000-2018","Beer","0.09","0.02","0.02","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kuwait","(FAO) 1961-1999; (FAO, IWSR, Wine Institute) 2000-2018","Wine","0.00","0.00","0","0","0.00","0.01","0.00","0.00","0.00","0.00"
"Kuwait","(FAO) 1961-1999; (FAO, IWSR, Wine Institute) 2000-2018","Spirits","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01"
"Kuwait","(FAO) 1961-1999; (FAO, IWSR, Wine Institute) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Kyrgyzstan","(FAO) 1985-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","5.98","7.29","6.98","6.78","6.52","6.65","6.35","5.84","5.70","5.33"
"Kyrgyzstan","(FAO) 1985-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","0.48","1.00","0.76","0.65","0.65","0.70","0.54","0.36","0.32","0.26"
"Kyrgyzstan","(FAO) 1985-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.07","0.08","0.08","0.08","0.08","0.10","0.14","0.14","0.14","0.06"
"Kyrgyzstan","(FAO) 1985-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","5.43","6.20","6.13","6.04","5.79","5.86","5.67","5.33","5.23","5.00"
"Kyrgyzstan","(FAO) 1985-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lao People's Democratic Republic","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","All types","5.25","5.15","5.03","3.71","3.69","3.54","3.43","3.35","3.14","5.19"
"Lao People's Democratic Republic","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Beer","2.18","2.04","1.75","1.49","1.41","1.23","1.12","1.02","0.94","0.85"
"Lao People's Democratic Republic","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Wine","0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Lao People's Democratic Republic","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Spirits","3.07","3.11","3.28","2.21","2.28","2.32","2.31","2.33","2.19","4.34"
"Lao People's Democratic Republic","(FAO) 1961-1999; (FAO, GlobalData, IWSR) 2000-2018","Other alcoholic beverages","0","0.00","0.00","0.00","0.00","0.00","0","0","0","0"
"Latvia","(WDT) 1980-1999; WHO 2000-2017","All types","9.85","11.84","12.12","10.40","9.92","8.81","8.24","7.44","6.68","7.13"
"Latvia","(WDT) 1980-1999; WHO 2000-2017","Beer","4.35","4.12","4.15","4.09","3.80","3.69","2.97","2.74","2.12","1.97"
"Latvia","(WDT) 1980-1999; WHO 2000-2017","Wine","1.03","1.13","1.18","1.06","0.94","0.95","1.78","1.50","1.38","1.60"
"Latvia","(WDT) 1980-1999; WHO 2000-2017","Spirits","3.94","5.80","5.91","4.48","4.57","3.74","3.33","3.04","3.04","3.45"
"Latvia","(WDT) 1980-1999; WHO 2000-2017","Other alcoholic beverages","0.53","0.79","0.88","0.78","0.60","0.43","0.16","0.16","0.14","0.11"
"Lebanon","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","All types","1.53","1.57","1.59","1.65","1.73","1.87","1.96","2.06","2.32","2.37"
"Lebanon","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Beer","0.39","0.39","0.39","0.39","0.41","0.45","0.44","0.44","0.44","0.44"
"Lebanon","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Wine","0.24","0.31","0.40","0.49","0.55","0.59","0.61","0.65","0.74","0.79"
"Lebanon","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Spirits","0.88","0.85","0.79","0.76","0.75","0.82","0.89","0.96","1.11","1.12"
"Lebanon","(FAO) 1961-1999; (GlobalData, IWSR, OIV) 2000-2018","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Lesotho","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","All types","2.92","2.91","2.85","2.77","1.94","1.78","1.97","2.93","2.85","3.09"
"Lesotho","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Beer","1.30","1.32","1.27","1.21","1.24","1.29","1.35","1.46","1.56","1.53"
"Lesotho","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Wine","0.01","0.01","0.01","0.00","0","0","0","0","0.04","0.04"
"Lesotho","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Spirits","0.54","0.55","0.54","0.53","0.01","0","0","0.35","0.36","0.37"
"Lesotho","(FAO) 1961-1999; (FAO, GlobalData) 2000-2017","Other alcoholic beverages","1.07","1.03","1.03","1.03","0.69","0.49","0.62","1.12","0.89","1.15"
"Liberia","(FAO) 1961-1999; (FAO, GlobalData, Wine Institute) 2000-2017","All types","3.76","3.90","4.05","4.06","4.20","4.25","4.23","4.29","4.42","4.47"
